mpid,pmsid,inn_ua,inn_en,atc_code,reg_num,exp_date,language,name,package_pcid,package_status,package_description,package_legal_status,release_form,manufactured_dose_form_id,manufacturer,package_qty
"UA-000000000-000000006","000000006","амоксицилін; *клавуланова кислота","amoxicillin; ","J01CR02","UA/11903/01/01","22.12.2116","Українська","АБИКЛАВ®","UA-000000000-000000006-000000006","Діючий","таблетки, вкриті плівковою оболонкою по 875 мг/125 мг: по 5 таблеток у блістері, по 2 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед","5.0 Штук(и/а)"
"UA-000000000-000000006","000000006","амоксицилін; *клавуланова кислота","amoxicillin; ","J01CR02","UA/11903/01/01","22.12.2116","Англійська","ABYCLAV®","UA-000000000-000000006-000000006","Діючий","таблетки, вкриті плівковою оболонкою по 875 мг/125 мг: по 5 таблеток у блістері, по 2 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед","5.0 Штук(и/а)"
"UA-000000000-000000007","000000007","амоксицилін та інгібітор бета-лактамаз","amoxicillin and beta-lactamase inhibitor","J01CR02","UA/11903/01/02","28.11.2116","Українська","АБИКЛАВ®","UA-000000000-000000007-000000007","Діючий","таблетки, вкриті плівковою оболонкою, по 500 мг/125 мг, по 5 таблеток у блістері, по 4 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед Юніт XII","5.0 Штук(и/а)"
"UA-000000000-000000007","000000007","амоксицилін та інгібітор бета-лактамаз","amoxicillin and beta-lactamase inhibitor","J01CR02","UA/11903/01/02","28.11.2116","Англійська","ABYCLAV®","UA-000000000-000000007-000000007","Діючий","таблетки, вкриті плівковою оболонкою, по 500 мг/125 мг, по 5 таблеток у блістері, по 4 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед Юніт XII","5.0 Штук(и/а)"
"UA-000000000-000000008","000000008","амоксицилін та інгібітор бета-лактамаз","amoxicillin and beta-lactamase inhibitor","J01CR02","UA/11903/01/01","28.11.2116","Українська","АБИКЛАВ®","UA-000000000-000000008-000000008","Діючий","таблетки, вкриті плівковою оболонкою, по 875 мг/125 мг, по 5 таблеток у блістері, по 2 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед Юніт XII","5.0 Штук(и/а)"
"UA-000000000-000000008","000000008","амоксицилін та інгібітор бета-лактамаз","amoxicillin and beta-lactamase inhibitor","J01CR02","UA/11903/01/01","28.11.2116","Англійська","ABYCLAV®","UA-000000000-000000008-000000008","Діючий","таблетки, вкриті плівковою оболонкою, по 875 мг/125 мг, по 5 таблеток у блістері, по 2 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед Юніт XII","5.0 Штук(и/а)"
"UA-000000000-000000009","000000009","цефепім","cefepime","J01DE01","UA/10084/01/02","24.06.2119","Українська","АБИПИМ®","UA-000000000-000000009-000000009","Діючий","порошок для розчину для ін'єкцій по 1000 мг, 1 флакон з порошком у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","Нектар Лайфсайнсіз Лімітед-Юніт VI","1.0e3 міліграм(и)"
"UA-000000000-000000009","000000009","цефепім","cefepime","J01DE01","UA/10084/01/02","24.06.2119","Англійська","ABIPIM®","UA-000000000-000000009-000000009","Діючий","порошок для розчину для ін'єкцій по 1000 мг, 1 флакон з порошком у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","Нектар Лайфсайнсіз Лімітед-Юніт VI","1.0e3 міліграм(и)"
"UA-000000000-000000010","000000010","цефепім","cefepime","J01DE01","UA/10084/01/01","24.06.2119","Українська","АБИПИМ®","UA-000000000-000000010-000000010","Діючий","порошок для розчину для ін'єкцій по 500 мг, 1 флакон з порошком у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","Нектар Лайфсайнсіз Лімітед-Юніт VІ","500.0 міліграм(и)"
"UA-000000000-000000010","000000010","цефепім","cefepime","J01DE01","UA/10084/01/01","24.06.2119","Англійська","ABIPIM®","UA-000000000-000000010-000000010","Діючий","порошок для розчину для ін'єкцій по 500 мг, 1 флакон з порошком у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","Нектар Лайфсайнсіз Лімітед-Юніт VІ","500.0 міліграм(и)"
"UA-000000000-000000011","000000011","левофлоксацин","levofloxacin","J01MA12","UA/14416/02/01","26.06.2120","Українська","АБИФЛОКС®","UA-000000000-000000011-000000011","Діючий","розчин для інфузій, 500 мг/100 мл по 100 мл розчину у флаконі; по 1 флакону у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ДЕМО С.А. Фармасьютікал Індастрі","100.0 мілілітр(и)"
"UA-000000000-000000011","000000011","левофлоксацин","levofloxacin","J01MA12","UA/14416/02/01","26.06.2120","Англійська","ABYFLOX®","UA-000000000-000000011-000000011","Діючий","розчин для інфузій, 500 мг/100 мл по 100 мл розчину у флаконі; по 1 флакону у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ДЕМО С.А. Фармасьютікал Індастрі","100.0 мілілітр(и)"
"UA-000000000-000000012","000000012","левофлоксацин","levofloxacin","J01MA12","UA/14416/01/01","02.06.2120","Українська","АБИФЛОКС®","UA-000000000-000000012-000000012","Діючий","таблетки, вкриті плівковою оболонкою, по 250 мг, по 10 таблеток у блістері, по 1 блістеру в картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед - Юніт VII","10.0 Штук(и/а)"
"UA-000000000-000000012","000000012","левофлоксацин","levofloxacin","J01MA12","UA/14416/01/01","02.06.2120","Англійська","ABYFLOX®","UA-000000000-000000012-000000012","Діючий","таблетки, вкриті плівковою оболонкою, по 250 мг, по 10 таблеток у блістері, по 1 блістеру в картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед - Юніт VII","10.0 Штук(и/а)"
"UA-000000000-000000013","000000013","левофлоксацин","levofloxacin","J01MA12","UA/14416/01/02","02.06.2120","Українська","АБИФЛОКС®","UA-000000000-000000013-000000013","Діючий","таблетки, вкриті плівковою оболонкою, по 500 мг, по 10 таблеток у блістері, по 1 блістеру в картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед - Юніт VII","10.0 Штук(и/а)"
"UA-000000000-000000013","000000013","левофлоксацин","levofloxacin","J01MA12","UA/14416/01/02","02.06.2120","Англійська","ABYFLOX®","UA-000000000-000000013-000000013","Діючий","таблетки, вкриті плівковою оболонкою, по 500 мг, по 10 таблеток у блістері, по 1 блістеру в картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед - Юніт VII","10.0 Штук(и/а)"
"UA-000000000-000000014","000000014","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Українська","АБІТАЗИМ","UA-000000000-000000014-000000014","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000014","000000014","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Українська","АБІТАЗИМ","UA-000000000-000000014-000000015","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000014","000000014","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Англійська","ABITAZIM","UA-000000000-000000014-000000014","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000014","000000014","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Англійська","ABITAZIM","UA-000000000-000000014-000000015","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000015","000000015","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Українська","АБІТАЗИМ","UA-000000000-000000015-000000016","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000015","000000015","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Українська","АБІТАЗИМ","UA-000000000-000000015-000000017","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000015","000000015","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Англійська","ABITAZIM","UA-000000000-000000015-000000016","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000015","000000015","цефтазидим","ceftazidime","J01DD02","UA/18808/01/01","28.06.2026","Англійська","ABITAZIM","UA-000000000-000000015-000000017","Діючий","порошок для розчину для ін'єкцій по 1 г, по 1 або 10 флаконів в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","АЦС ДОБФАР С.П.А. (виробництво готового лікарського засобу, випуск серії)","1.0 грам(и)"
"UA-000000000-000000016","000000016","цефтріаксон","ceftriaxone","J01DD04","UA/16284/01/02","20.09.2026","Українська","АБІТРАКС","UA-000000000-000000016-000000020","Діючий","порошок для розчину для ін’єкцій по 1000 мг у флаконі № 1 в комплекті з ампулою розчинника по 3,5 мл","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","ТОВ `ЛАБОРАТОРІО ФАРМАСЬЮТІКО Сі.Ті.`","1.0e3 міліграм(и)"
"UA-000000000-000000016","000000016","цефтріаксон","ceftriaxone","J01DD04","UA/16284/01/02","20.09.2026","Англійська","ABITRAX","UA-000000000-000000016-000000020","Діючий","порошок для розчину для ін’єкцій по 1000 мг у флаконі № 1 в комплекті з ампулою розчинника по 3,5 мл","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","ТОВ `ЛАБОРАТОРІО ФАРМАСЬЮТІКО Сі.Ті.`","1.0e3 міліграм(и)"
"UA-000000000-000000017","000000017","цефтріаксон","ceftriaxone","J01DD04","UA/16284/01/01","20.09.2026","Українська","АБІТРАКС","UA-000000000-000000017-000000021","Діючий","порошок для розчину для ін’єкцій по 500 мг у флаконі № 1 в комплекті з ампулою розчинника по 2 мл","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","ТОВ `ЛАБОРАТОРІО ФАРМАСЬЮТІКО Сі.Ті.`","500.0 міліграм(и)"
"UA-000000000-000000017","000000017","цефтріаксон","ceftriaxone","J01DD04","UA/16284/01/01","20.09.2026","Англійська","ABITRAX","UA-000000000-000000017-000000021","Діючий","порошок для розчину для ін’єкцій по 500 мг у флаконі № 1 в комплекті з ампулою розчинника по 2 мл","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції","","ТОВ `ЛАБОРАТОРІО ФАРМАСЬЮТІКО Сі.Ті.`","500.0 міліграм(и)"
"UA-000000000-000000018","000000018","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/02/01","05.11.2117","Українська","АВЕЛОКС®","UA-000000000-000000018-000000022","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл розчину у флаконах; по 1 флакону в картонній пачці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","250.0 мілілітр(и)"
"UA-000000000-000000018","000000018","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/02/01","05.11.2117","Англійська","AVELOX®","UA-000000000-000000018-000000022","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл розчину у флаконах; по 1 флакону в картонній пачці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","250.0 мілілітр(и)"
"UA-000000000-000000019","000000019","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/02/01","29.11.2117","Українська","АВЕЛОКС®","UA-000000000-000000019-000000023","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл розчину у флаконах; по 1 флакону в картонній пачці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","250.0 мілілітр(и)"
"UA-000000000-000000019","000000019","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/02/01","29.11.2117","Англійська","AVELOX®","UA-000000000-000000019-000000023","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл розчину у флаконах; по 1 флакону в картонній пачці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","250.0 мілілітр(и)"
"UA-000000000-000000020","000000020","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/01/01","25.10.2120","Українська","АВЕЛОКС®","UA-000000000-000000020-000000024","Діючий","таблетки, вкриті оболонкою, по 400 мг, по 5 таблеток у блістері; по 1 блістеру в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","5.0 Штук(и/а)"
"UA-000000000-000000020","000000020","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/01/01","25.10.2120","Англійська","AVELOX®","UA-000000000-000000020-000000024","Діючий","таблетки, вкриті оболонкою, по 400 мг, по 5 таблеток у блістері; по 1 блістеру в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","5.0 Штук(и/а)"
"UA-000000000-000000021","000000021","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/01/01","18.11.2120","Українська","АВЕЛОКС®","UA-000000000-000000021-000000025","Діючий","таблетки, вкриті оболонкою, по 400 мг; по 5 таблеток у блістері; по 1 блістеру в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","5.0 Штук(и/а)"
"UA-000000000-000000021","000000021","моксифлоксацин","moxifloxacin","J01MA14","UA/4071/01/01","18.11.2120","Англійська","AVELOX®","UA-000000000-000000021-000000025","Діючий","таблетки, вкриті оболонкою, по 400 мг; по 5 таблеток у блістері; по 1 блістеру в картонній коробці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","Байєр АГ (весь цикл виробництва (виробництво нерозфасованої продукції, первинна упаковка, вторинна упаковка, контроль якості, випуск серії))","5.0 Штук(и/а)"
"UA-000000000-000000022","000000022","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Українська","АВЕЦИН-Н","UA-000000000-000000022-000000026","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000022","000000022","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Українська","АВЕЦИН-Н","UA-000000000-000000022-000000027","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000022","000000022","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Англійська","AVECIN-N","UA-000000000-000000022-000000026","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000022","000000022","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Англійська","AVECIN-N","UA-000000000-000000022-000000027","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000023","000000023","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Українська","АВЕЦИН-Н","UA-000000000-000000023-000000028","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (Нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000023","000000023","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Українська","АВЕЦИН-Н","UA-000000000-000000023-000000029","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (Нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000023","000000023","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Англійська","AVECIN-N","UA-000000000-000000023-000000028","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (Нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000023","000000023","моксифлоксацин","moxifloxacin","J01MA14","UA/20053/01/01","08.06.2028","Англійська","AVECIN-N","UA-000000000-000000023-000000029","Діючий","розчин для інфузій, 400 мг/250 мл, по 250 мл у флаконі; по 1 флакону в пачці з картону або по 10 флаконів у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Розчин для інфузії","","ВІОСЕР С.А. ПАРЕНТЕРАЛ СОЛЮШНС ІНДАСТРІ (Нерозфасований продукт, первинна упаковка, вторинна упаковка, контроль)","250.0 мілілітр(и)"
"UA-000000000-000000024","000000024","азитроміцин","azithromycin","J01FA10","UA/5811/01/01","28.11.2116","Українська","АЗАКС®","UA-000000000-000000024-000000030","Діючий","таблетки, вкриті оболонкою, по 500 мг, по 3 таблетки у блістері; по 1 блістеру у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.","3.0 Штук(и/а)"
"UA-000000000-000000024","000000024","азитроміцин","azithromycin","J01FA10","UA/5811/01/01","28.11.2116","Англійська","AZAX®","UA-000000000-000000024-000000030","Діючий","таблетки, вкриті оболонкою, по 500 мг, по 3 таблетки у блістері; по 1 блістеру у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита оболонкою","","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.","3.0 Штук(и/а)"
"UA-000000000-000000025","000000025","азтреонам","aztreonam","J01DF01","UA/18134/01/01","26.05.2025","Українська","АЗЕОНАМ","UA-000000000-000000025-000000031","Діючий","порошок для розчину для ін’єкцій або інфузій по 1 г по 1 флакону з порошком у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції або інфузії","","`Венус Ремедіс Лімітед`","1.0 грам(и)"
"UA-000000000-000000025","000000025","азтреонам","aztreonam","J01DF01","UA/18134/01/01","26.05.2025","Англійська","AZEONAM","UA-000000000-000000025-000000031","Діючий","порошок для розчину для ін’єкцій або інфузій по 1 г по 1 флакону з порошком у коробці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для розчину для ін'єкції або інфузії","","`Венус Ремедіс Лімітед`","1.0 грам(и)"
